event_id,event_date,event_year,event_month,event_day_of_year,country_name,country_code,admin_division_name,state_normalized,is_ner,latitude,longitude,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,event_title,location_description
5053,2013-07-07 00:00:00,2013,7,188,India,IN,Himachal Pradesh,Himachal Pradesh,False,31.9671,76.8521,landslide,downpour,medium,unknown,,,"Mandi-Pathankot Highway At Gumma In Mandi, Himachal Pradesh","Mandi-Pathankot Highway At Gumma In Mandi, Himachal Pradesh"
5051,2013-07-07 00:00:00,2013,7,188,India,IN,Himachal Pradesh,Himachal Pradesh,False,31.7017,76.973,landslide,downpour,medium,unknown,,,"Mandi-Kullu Highway In Mandi, Himachal Pradesh","Mandi-Kullu Highway In Mandi, Himachal Pradesh"
5049,2013-07-07 00:00:00,2013,7,188,India,IN,Himachal Pradesh,Himachal Pradesh,False,31.5596,77.1679,landslide,downpour,medium,unknown,,,"Mandi-Janjheli Road At Odidhar Thunag, Himachal Pradesh","Mandi-Janjheli Road At Odidhar Thunag, Himachal Pradesh"
5050,2013-07-07 00:00:00,2013,7,188,India,IN,Himachal Pradesh,Himachal Pradesh,False,31.703,76.936,mudslide,rain,medium,unknown,,,"Mandi-Shimla Highway In Mandi, Himachal Pradesh","Mandi-Shimla Highway In Mandi, Himachal Pradesh"
5052,2013-07-07 00:00:00,2013,7,188,India,IN,Himachal Pradesh,Himachal Pradesh,False,31.7093,76.9297,landslide,downpour,medium,unknown,,,"A Nullah Near The Government Hospital In Mandi, Himachal Pradesh","A Nullah Near The Government Hospital In Mandi, Himachal Pradesh"
5047,2013-07-07 03:00:00,2013,7,188,India,IN,Himachal Pradesh,Himachal Pradesh,False,31.8795,76.9161,landslide,downpour,medium,unknown,,,"Mandi-Pathankot Highway At Paddar, Himachal Pradesh","Mandi-Pathankot Highway At Paddar, Himachal Pradesh"
5062,2013-07-08 00:00:00,2013,7,189,India,IN,Kashmir,Jammu and Kashmir,False,33.3118,75.7525,mudslide,downpour,medium,unknown,2.0,,"Mundral In Kishtwar District, Jammu And Kashmir","Mundral In Kishtwar District, Jammu And Kashmir"
5073,2013-07-10 00:00:00,2013,7,191,India,IN,Maharashtra,Maharashtra,False,19.0222,72.8663,landslide,downpour,medium,unknown,5.0,,"Debram Chawl, Antop Hill Near Sheikh Mistry Dargah Road, Central Mumbai","Debram Chawl, Antop Hill Near Sheikh Mistry Dargah Road, Central Mumbai"
5074,2013-07-10 00:00:00,2013,7,191,India,IN,Maharashtra,Maharashtra,False,19.0263,72.8676,landslide,downpour,medium,unknown,2.0,1.0,"Antop Hill, Mumbai","Antop Hill, Mumbai"
5068,2013-07-10 04:30:00,2013,7,191,India,IN,Uttarakhand,Uttarakhand,False,30.3629,79.2143,landslide,rain,medium,unknown,7.0,,"Bhikona Village, Pokhri Block, Chamoli Village, Uttarakhand","Bhikona Village, Pokhri Block, Chamoli Village, Uttarakhand"
5079,2013-07-11 00:00:00,2013,7,192,India,IN,Jharkhand,Jharkhand,False,26.9734,87.3412,mudslide,continuous_rain,medium,unknown,0.0,,Dhankuta,Dhankuta
5088,2013-07-12 00:00:00,2013,7,193,India,IN,Uttarakhand,Uttarakhand,False,29.3802,79.4633,mudslide,downpour,medium,unknown,6.0,,"Lohardobha Billage, Dhari, Nainital","Lohardobha Billage, Dhari, Nainital"
5086,2013-07-12 00:00:00,2013,7,193,India,IN,Uttarakhand,Uttarakhand,False,29.3802,79.4633,landslide,rain,medium,unknown,6.0,,"Nainital District, Uttarakhand","Nainital District, Uttarakhand"
5087,2013-07-12 00:00:00,2013,7,193,India,IN,Nāgāland,Nagaland,True,25.6269,94.1139,landslide,downpour,medium,unknown,0.0,,"National Highway 29 Near Phesama Village, Nagaland","National Highway 29 Near Phesama Village, Nagaland"
5084,2013-07-12 23:00:00,2013,7,193,India,IN,Nāgāland,Nagaland,True,25.616,94.1167,landslide,downpour,medium,unknown,0.0,,"National Highway 2 Near Phesama Village Close To Kisama Naha Heritage Site, Kohima District, Nagaland","National Highway 2 Near Phesama Village Close To Kisama Naha Heritage Site, Kohima District, Nagaland"
5098,2013-07-14 00:00:00,2013,7,195,India,IN,Himachal Pradesh,Himachal Pradesh,False,32.17,77.1788,landslide,downpour,medium,unknown,1.0,,"Mehaskwal Village, Himachal Pradesh","Mehaskwal Village, Himachal Pradesh"
5097,2013-07-14 00:00:00,2013,7,195,India,IN,Himachal Pradesh,Himachal Pradesh,False,31.4711,77.6746,landslide,downpour,medium,unknown,1.0,,"Near Rampur, Himachal Pradesh","Near Rampur, Himachal Pradesh"
5099,2013-07-14 00:00:00,2013,7,195,India,IN,Himachal Pradesh,Himachal Pradesh,False,30.6738,77.3544,landslide,rain,medium,unknown,0.0,,"Sirmaur District, Himachal Pradesh","Sirmaur District, Himachal Pradesh"
5100,2013-07-14 00:00:00,2013,7,195,India,IN,Himachal Pradesh,Himachal Pradesh,False,31.673,76.5338,landslide,rain,medium,unknown,0.0,,"Shimla-Nahan Highway, Dosarka, Himachal Pradesh","Shimla-Nahan Highway, Dosarka, Himachal Pradesh"
