event_id,event_date,event_year,event_month,event_day_of_year,country_name,country_code,admin_division_name,state_normalized,is_ner,latitude,longitude,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,event_title,location_description
9338,2016-05-18 08:00:00,2016,5,139,India,IN,Assam,Assam,True,24.4638,92.4943,landslide,continuous_rain,medium,natural_slope,5.0,0.0,"Sonachirra, Karimganj district, Assam, India","Sonachirra, Karimganj district, Assam, India"
9334,2016-05-18 08:00:00,2016,5,139,India,IN,Assam,Assam,True,24.5204,92.7264,landslide,continuous_rain,unknown,unknown,2.0,0.0,"Bilaipur, Hailakandi district, Assam, India","Bilaipur, Hailakandi district, Assam, India"
9335,2016-05-18 08:00:00,2016,5,139,India,IN,Assam,Assam,True,24.5202,92.7239,landslide,continuous_rain,unknown,unknown,2.0,0.0,"Bilaipur, Hailakandi district, Assam, India","Bilaipur, Hailakandi district, Assam, India"
9169,2016-06-12 00:00:00,2016,6,164,India,IN,Nagaland,Nagaland,True,26.1677,94.2442,landslide,continuous_rain,unknown,above_road,0.0,0.0,"on road between Mon and Tobu near Telangsao Hydro project , Nagaland, India","on road between Mon and Tobu near Telangsao Hydro project , Nagaland, India"
9168,2016-06-12 23:00:00,2016,6,164,India,IN,Arunachal Pradesh,Arunachal Pradesh,True,27.6438,93.871,landslide,downpour,medium,above_road,0.0,0.0,"NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India","NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India"
9142,2016-06-14 08:00:00,2016,6,166,India,IN,Nagaland,Nagaland,True,26.3185,94.5247,landslide,continuous_rain,medium,retaining_wall,0.0,0.0,"lower Majakong Ward, Mokokchung, Nagaland, India","lower Majakong Ward, Mokokchung, Nagaland, India"
8222,2016-06-22 12:00:00,2016,6,174,India,IN,Assam,Assam,True,26.1961,91.7825,mudslide,downpour,medium,natural_slope,1.0,0.0,"Piyali Phukan Nagar, Guwahati, India","Piyali Phukan Nagar, Guwahati, India"
8237,2016-07-01 00:00:00,2016,7,183,India,IN,Arunachal Pradesh,Arunachal Pradesh,True,27.0136,92.6351,landslide,downpour,large,unknown,5.0,3.0,"Old Inspection Bungalow, Bhalukpong town, West Kameng, Arunachal Pradesh, India","Old Inspection Bungalow, Bhalukpong town, West Kameng, Arunachal Pradesh, India"
8684,2016-07-07 00:00:00,2016,7,189,India,IN,Assam,Assam,True,25.9611,91.3681,landslide,continuous_rain,medium,retaining_wall,2.0,2.0,"Kamrup district, Assam, India","Kamrup district, Assam, India"
8900,2016-07-07 00:00:00,2016,7,189,India,IN,Manipur,Manipur,True,25.0118,94.3136,landslide,monsoon,large,above_road,0.0,0.0,"Imphal-Ukhrul sector of National Highway 102, Manipur, India","Imphal-Ukhrul sector of National Highway 102, Manipur, India"
8901,2016-07-10 00:00:00,2016,7,192,India,IN,Nagaland,Nagaland,True,25.7902,94.1318,landslide,downpour,medium,above_road,0.0,0.0,"National Highway 2, near Kohima, Nagaland, India","National Highway 2, near Kohima, Nagaland, India"
8930,2016-07-11 23:00:00,2016,7,193,India,IN,Nagaland,Nagaland,True,26.1699,94.4922,landslide,unknown,large,unknown,0.0,0.0,"North Point Colony, Akuluto, Nagaland, India","North Point Colony, Akuluto, Nagaland, India"
8996,2016-07-14 00:00:00,2016,7,196,India,IN,Assam,Assam,True,26.1768,91.7702,landslide,monsoon,small,natural_slope,1.0,0.0,"Pub Sarania hill, South Sarania, Guwahati, Assam, India","Pub Sarania hill, South Sarania, Guwahati, Assam, India"
8995,2016-07-14 00:00:00,2016,7,196,India,IN,Assam,Assam,True,26.1963,91.8074,landslide,monsoon,small,unknown,1.0,0.0,"Noonmati Nijarapar area of the city, Guwahati, Assam, India","Noonmati Nijarapar area of the city, Guwahati, Assam, India"
9010,2016-07-16 00:00:00,2016,7,198,India,IN,Arunachal Pradesh,Arunachal Pradesh,True,27.3034,93.804,mudslide,downpour,medium,above_road,1.0,0.0,"Hoj-Potin Highway, Arunachal Pradesh, India","Hoj-Potin Highway, Arunachal Pradesh, India"
